DEMAND,Time (HH:MM),Pressure before leakage,Pressure at leakage,Pressure after leakage,Flow before leakage,Flow after leakage,DEMAND AT LEAKAGE,Label
0.3,0:00,1074.6200,1030.8600,987.0900,1.1300,1.1300,0.0000,No leakage
0.3,0:00,1060.7000,993.1000,950.5200,1.4300,1.1100,0.32,Leakage
0.3,0:00,1051.8900,956.9100,915.49,1.7100,1.0900,0.6200,Leakage
0.3,0:00,1029.34,666.4100,634.43,3.5300,0.9500,2.5800,Leakage
0.3,0:00,1023.88,394.0300,371.48,4.7600,0.7900,3.9700,Leakage
0.3,0:00,1021.4200,159.0000,145.6300,5.6400,0.5900,5.0400,Theft
0.3,0:00,1021.0400,110.8700,99.68,5.8000,0.5400,5.26,Theft
0.3,0:10,1074.6100,1030.8500,987.0900,1.1300,1.1300,0.0000,No leakage
0.3,0:10,1060.7000,993.0900,950.5200,1.4300,1.1100,0.32,Leakage
0.3,0:10,1051.8800,956.9000,915.48,1.7100,1.0900,0.6200,Leakage
0.3,0:10,1029.33,666.4000,634.42,3.5300,0.9500,2.5800,Leakage
0.3,0:10,1023.87,394.0300,371.48,4.7600,0.7900,3.9700,Leakage
0.3,0:10,1021.4100,159.0000,145.6200,5.6400,0.5900,5.0400,Theft
0.3,0:10,1021.0300,110.8700,99.68,5.8000,0.5400,5.26,Theft
0.3,0:20,1074.6100,1030.8400,987.0800,1.1300,1.1300,0.0000,No leakage
0.3,0:20,1060.6900,993.0800,950.5100,1.4300,1.1100,0.32,Leakage
0.3,0:20,1051.8700,956.9000,915.47,1.7100,1.0900,0.6200,Leakage
0.3,0:20,1029.32,666.4000,634.42,3.5300,0.9500,2.5800,Leakage
0.3,0:20,1023.86,394.0300,371.48,4.7600,0.7900,3.9700,Leakage
0.3,0:20,1021.4000,159.0000,145.6200,5.6400,0.5900,5.0400,Theft
0.3,0:20,1021.0200,110.8700,99.68,5.8000,0.5400,5.26,Theft
0.2,0:30,1080.5300,1043.1300,1005.7200,1.0400,1.0400,0.0000,No leakage
0.2,0:30,1064.2800,1004.3800,968.1000,1.3400,1.0200,0.32,Leakage
0.2,0:30,1054.2900,968.1800,932.96,1.6200,1.0000,0.6200,Leakage
0.2,0:30,1029.77,679.1800,652.57,3.4700,0.8600,2.6100,Leakage
0.2,0:30,1024.04,403.9800,385.95,4.7200,0.7000,4.0200,Leakage
0.2,0:30,1021.4900,163.7400,153.9100,5.6200,0.5000,5.1200,Theft
0.2,0:30,1021.0900,114.2600,106.33,5.7900,0.4500,5.34,Theft
0.2,0:40,1080.5300,1043.1200,1005.7100,1.0400,1.0400,0.0000,No leakage
0.2,0:40,1064.2800,1004.3700,968.1000,1.3400,1.0200,0.32,Leakage
0.2,0:40,1054.2900,968.1700,932.95,1.6200,1.0000,0.6200,Leakage
0.2,0:40,1029.76,679.1700,652.57,3.4700,0.8600,2.6100,Leakage
0.2,0:40,1024.03,403.9700,385.95,4.7200,0.7000,4.0200,Leakage
0.2,0:40,1021.4800,163.7300,153.9100,5.6200,0.5000,5.1200,Theft
0.2,0:40,1021.0900,114.2600,106.33,5.7900,0.4500,5.34,Theft
0.2,0:50,1080.5200,1043.1100,1005.7100,1.0400,1.0400,0.0000,No leakage
0.2,0:50,1064.2700,1004.3700,968.0900,1.3400,1.0200,0.32,Leakage
0.2,0:50,1054.2800,968.1600,932.95,1.6200,1.0000,0.6200,Leakage
0.2,0:50,1029.76,679.1700,652.56,3.4700,0.8600,2.6100,Leakage
0.2,0:50,1024.03,403.9700,385.95,4.7200,0.7000,4.0200,Leakage
0.2,0:50,1021.4700,163.7300,153.9100,5.6200,0.5000,5.1200,Theft
0.2,0:50,1021.0800,114.2600,106.33,5.7900,0.4500,5.34,Theft
0.4,1:00,1069.5300,1018.9700,968.4000,1.2200,1.2200,0.0000,No leakage
0.4,1:00,1057.4900,981.7800,932.4800,1.5200,1.2000,0.31,Leakage
0.4,1:00,1049.6600,945.4700,897.41,1.8000,1.1900,0.6100,Leakage
0.4,1:00,1028.86,653.5500,615.78,3.6000,1.0400,2.5600,Leakage
0.4,1:00,1023.65,384.1500,356.64,4.8000,0.8800,3.9200,Leakage
0.4,1:00,1021.2800,154.3400,136.9600,5.6500,0.6800,4.9700,Theft
0.4,1:00,1020.9200,107.5400,92.62,5.8200,0.6300,5.19,Theft
0.4,1:10,1069.5300,1018.9600,968.3900,1.2200,1.2200,0.0000,No leakage
